,Accuracy_BP,Cost_BP
0,0.1097,2.30219507216024
1,0.1097,2.302068574926696
2,0.1097,2.3019273046066955
3,0.1097,2.3021493538678564
4,0.1097,2.3022644079213967
5,0.1097,2.302091806655614
6,0.1097,2.3021336543256004
7,0.1097,2.302173554557945
8,0.1097,2.302113173008495
9,0.1097,2.302174859044409
10,0.1097,2.3021745172829013
11,0.1097,2.3020954894896604
12,0.1097,2.3021689360313977
13,0.1097,2.302141442360989
14,0.1097,2.3022902936959104
15,0.1097,2.3020584022304154
16,0.1097,2.3022135784694293
17,0.1097,2.3023747758328614
18,0.1097,2.3023203157228678
19,0.1097,2.3022719747579243
20,0.1097,2.3022167284338018
21,0.1097,2.3021908691709734
22,0.1097,2.301861474678958
23,0.1097,2.302026333396205
24,0.1097,2.3025242655026257
25,0.1097,2.302077155174001
26,0.1097,2.3022232541058214
27,0.1097,2.302402414320056
28,0.1097,2.3021154439199454
29,0.1097,2.3020202100608826
30,0.1097,2.3021685257606204
31,0.1097,2.3021285827489124
32,0.1097,2.3020598844547973
33,0.1097,2.3021137785566896
34,0.1097,2.3021561006207074
35,0.1097,2.3021505956552186
36,0.1097,2.3022021034345546
37,0.1097,2.3022309029816954
38,0.1097,2.302080798598053
39,0.1097,2.3025225669530887
40,0.1097,2.3021694728812894
41,0.1097,2.3022505673909097
42,0.1097,2.3021945647367974
43,0.1097,2.3022252936024357
44,0.1097,2.3024074852300904
45,0.1097,2.302219344660803
46,0.1097,2.3020605918714727
47,0.1097,2.302220067690345
48,0.1097,2.302278611349698
49,0.1097,2.302184445538283
